# Generated release runtime artifact inventory
# Regenerate: .\gradlew.bat -I scripts/write-release-runtime-inventory.init.gradle :app:writeReleaseRuntimeInventory --no-daemon
# coordinate	artifact	bytes	sha256
org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.9.0	kotlin-stdlib-jdk8:jar:-	963	a59fa24fdf1ffb594baecdbf0fd10010f977cea10236d487fe3464977a7377fa
org.jetbrains.kotlin:kotlin-stdlib:2.4.10	kotlin-stdlib:jar:-	1841933	4ec0293bc3751423b203f1d8493251c57c42e73eb6377a6b8560d0974ff0a6df
org.jetbrains.kotlinx:kotlinx-coroutines-android:1.11.0	kotlinx-coroutines-android:jar:-	17819	c2cb206d27017c7d1bf5ff179787397543d13748dbabb0d7237e1585e0b29044
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.11.0	kotlinx-coroutines-core-jvm:jar:-	1577052	d1d75aa01dffbb4d1c520e67e4c4e7f5f6174718e7cb4632412503f2f0e604fa
org.jetbrains.kotlinx:kotlinx-coroutines-guava:1.11.0	kotlinx-coroutines-guava:jar:-	18340	82d3993130a494d6fab8b64705c8e10a61decd8af3d2e9274cfd8a3a5d80591f
org.jetbrains.kotlinx:kotlinx-serialization-core-jvm:1.11.0	kotlinx-serialization-core-jvm:jar:-	404509	f4a801c647d4351327cd9e1ac4113e2be9ea37a64ab0abae269c25a52e28f35d
org.jetbrains.kotlinx:kotlinx-serialization-json-jvm:1.11.0	kotlinx-serialization-json-jvm:jar:-	294166	563a25b4eb5c9128ae9c2479f3d1a5c44dcd176112b91cf03682e906eba5c935
org.jetbrains:annotations:23.0.0	annotations:jar:-	29371	7b0f19724082cbfcbc66e5abea2b9bc92cf08a1ea11e191933ed43801eb3cd05
org.jspecify:jspecify:1.0.0	jspecify:jar:-	3819	1fad6e6be7557781e4d33729d49ae1cdc8fdda6fe477bb0cc68ce351eafdfbab
sh.calvin.reorderable:reorderable-android:3.1.0	reorderable-android:aar:-	278943	8a7d3523467cd78fbf01ff541a31e9d719b2612afccb6d092e4a44ba41f74408
